자원명,관리기관구분,시도,군구,경도,위도
청량리제2공영,지방자치단체,서울특별시,동대문구,127.0403911,37.58073437
청량리제3공영,지방자치단체,서울특별시,동대문구,127.0406793,37.58242264
청량리제4공영,지방자치단체,서울특별시,동대문구,127.040542,37.58647373
청소년회관뒤,지방자치단체,서울특별시,중구,126.9898,37.56731
청운중,교육청,서울특별시,종로구,126.9710886,37.58917094
청운초,교육청,서울특별시,종로구,126.9692367,37.58592131
청원여고,교육청,서울특별시,노원구,127.0625329,37.66525155
청원중,교육청,서울특별시,노원구,127.0625329,37.66525155
청원초,교육청,서울특별시,노원구,127.0625329,37.66525155
청파초,교육청,서울특별시,용산구,126.9635439,37.5473049
충현공영,지방자치단체,서울특별시,중구,127.0057006,37.55218254
충현어린이공영,지방자치단체,서울특별시,중구,127.0052,37.5521
탑골공원,지방자치단체,서울특별시,종로구,126.9878,37.57133
태랑중,교육청,서울특별시,노원구,127.0913718,37.62698409
태양빌딩앞,지방자치단체,서울특별시,영등포구,126.9303375,37.52002813
테헤란로 69길,지방자치단체,서울특별시,강남구,127.0504,37.50657
테헤란로26길,지방자치단체,서울특별시,강남구,127.0366,37.49981
테헤란로64길,지방자치단체,서울특별시,강남구,127.0513,37.50477
테헤란로78길,지방자치단체,서울특별시,강남구,127.0553,37.50579
평창동,지방자치단체,서울특별시,종로구,126.9773,37.61064
평창동460-3,지방자치단체,서울특별시,종로구,126.9749,37.61064
풍납유수지,지방자치단체,서울특별시,송파구,127.1038247,37.525251
풍납중,교육청,서울특별시,송파구,127.1156283,37.52535051
필동공영,지방자치단체,서울특별시,중구,126.9958721,37.55659948
하계중,교육청,서울특별시,노원구,127.0723336,37.64136991
한강미디어고,교육청,서울특별시,영등포구,126.8972599,37.53929145
한강중,교육청,서울특별시,용산구,126.9927909,37.52361192
한강진,지방자치단체,서울특별시,용산구,127.0026,37.5397
한국거래소앞,지방자치단체,서울특별시,영등포구,126.927473,37.52184535
한국보건의료인국가시험원,공공기관,서울특별시,광진구,127.0853771,37.53199519
한국원자력의학원,공공기관,서울특별시,노원구,127.0826932,37.62881598
한국장애인개발원 이룸센터,공공기관,서울특별시,영등포구,126.9178436,37.52686988
한국행정연구원,공공기관,서울특별시,은평구,126.9353944,37.60985607
한남초,교육청,서울특별시,용산구,127.0055998,37.53920365
한성백제박물관,지방자치단체,서울특별시,송파구,127.1208007,37.51542872
한신동성아파트옆 공영주차장,지방자치단체,서울특별시,노원구,127.0743,37.63973
한신초,교육청,서울특별시,도봉구,127.0324273,37.65335584
한양중,교육청,서울특별시,중구,127.0114433,37.5658716
한진해운앞,지방자치단체,서울특별시,영등포구,126.9256156,37.52304631
합정,지방자치단체,서울특별시,마포구,126.9151964,37.54927245
해군본부앞,지방자치단체,서울특별시,영등포구,126.9211,37.50432
해성여고,교육청,서울특별시,동대문구,127.0569769,37.5818726
헌릉로745길,지방자치단체,서울특별시,강남구,127.1185,37.47026
혜성여고,교육청,서울특별시,노원구,127.0736197,37.64055021
혜화여고,교육청,서울특별시,강북구,127.013212,37.63130842
혜화초,교육청,서울특별시,종로구,127.0002536,37.58863443
호성빌딩앞,지방자치단체,서울특별시,영등포구,126.9297001,37.51962906
홍대부속중,교육청,서울특별시,성북구,127.002805,37.59366662
홍대서측,지방자치단체,서울특별시,마포구,126.9212349,37.55194936
홍연초교 공영주차장,지방자치단체,서울특별시,서대문구,126.9306604,37.58211871
홍우빌딩앞,지방자치단체,서울특별시,영등포구,126.9309476,37.52040718
홍은2동 제3공영주차장(3층),지방자치단체,서울특별시,서대문구,126.9342219,37.58676916
화계초,교육청,서울특별시,강북구,127.0297162,37.62388498
화랑대,지방자치단체,서울특별시,중랑구,127.0869,37.62003
화랑초,교육청,서울특별시,노원구,127.0889915,37.62878266
화재보험협회앞,지방자치단체,서울특별시,영등포구,126.927473,37.52184535
환일고,교육청,서울특별시,중구,126.9622068,37.55380951
환일중,교육청,서울특별시,중구,126.9622068,37.55380951
황학어린이공원,지방자치단체,서울특별시,중구,127.0181,37.56753
효정학교,교육청,서울특별시,강북구,127.0162222,37.62712954
후암초,교육청,서울특별시,용산구,126.9817243,37.55136541
훈련원공원옆,지방자치단체,서울특별시,중구,127.0051,37.56794
휘경공고,교육청,서울특별시,동대문구,127.0697283,37.5852216
휘봉고,교육청,서울특별시,동대문구,127.068852,37.58640385
